text,rating,date
"Fast paced, ownership, strong talent pool. *separator* Chaotic, confrontational, sometimes not data driven.",3,"Dec 12, 2021"
tons of career progression opportunities. *separator* team culture varies so can be good or bad.,5,"Oct 17, 2021"
awesomee and very nice and gooood. *separator* ok thats not mmany dont worry.,4,"Oct 3, 2021"
Free Amazon prime membership and discounts. *separator* Part of evil empire that only cares about profits.,1,"Oct 9, 2021"
Lives by its leadership principles lots to learn work with smart people. *separator* base salary is a bummer promotion is not easy.,4,"Aug 30, 2021"
able to transfer teams great opportunity to learn a lot of thing people willing to innovate. *separator* different teams can vary a lot. expectations are definitely very high work culture is very strong so hard to survive if cannot adapt.,5,"Aug 10, 2021"
"Good collaboration, compensation, and professionalism.. *separator* Hard to get promoted and base salary increase is very slow..",4,"Aug 20, 2021"
"It is a fine place to work. *separator* Difficult culture, long hours, politics.",4,"Aug 7, 2021"
"good company, lots of ppl. *separator* need more perks than bananas.",3,"Aug 1, 2021"
"Creative people and huge diversity of jobs. You're encouraged to be creative and innovative. *separator* It's super fast growing environment, so you always feel the stress that you need to catch up.",4,"Jul 25, 2021"
well paid for the job. *separator* you need to have so many skills needed and.,5,"Jul 5, 2021"
"- A lot of career growth opportunities: If you are a proactive person with ideas or love-to-learn attitude, you will find yourself with lots to venture in. - (As a scientist in e-commerce division) Good science community support: With accessibility to company-wide research meetings, conferences, mentorship, principal scientists and paper repository, there are many resources to onboard and continue research even after grad school. - Many exciting projects and programs: It is always Day 1 :) You will not find yourself bored given all the initiatives available in Amazon. If you really cannot find one, the environment allows you to freely propose with leadership to support and provide resources.. *separator* - Hard to maintain work-life balance: Late-night/morning meetings, last minute ad-hoc priorities, and inflexible timeline, etc. - Constant changes in leadership or focus: Might not apply to every org, but moving fast means sacrificing some of the spent effort and shifting focus on 'immediately important' stuff. - Competition between teams: It does not necessarily become unhealthy, but if it does, usually is because of work in similar nature competing for visibility/implementation..",4,"Jul 16, 2021"
big community for all scientists. *separator* not much cultural activity to attend.,4,"Jul 15, 2021"
"Good peers, Strong stock growth. *separator* Scrappy culture, High stress, High expectations.",4,"Jul 14, 2021"
"Many opportunities for learning, and quick development if you end up in a good team. *separator* Constant re-org - 6 managers within 2 years. Not always simple to find tech-savvy managers for tech employees.",3,"Jul 14, 2021"
- Committed manager with a strong team. *separator* - Some projects can get tedious for scientists.,4,"Jul 13, 2021"
"Aggressive Learning, various domains to explore and have hands on. *separator* Compensation growth is like a snail, work culture is tough.",2,"Jul 13, 2021"
"Great mentorship Good meaningful work, it is great. *separator* May take a lot of time to do the work.",5,"Jun 16, 2021"
"-Interesting projects; - attention to new ideas; - smart people around; - access to greatest and latest tech; - a lot of interesting data; - easy to experiment with new ideas; - some managers are really great; - lots of trainings and resources for development; - easy to understand the culture based on Leadership Principles;. *separator* - no lunch, drinks, snacks; - somewhat, vertical structure in decision making; - generally, lack of collaboration across teams/groups; - benefits below market (you pay more than half of total insurance cost, 401k is only partially matched after 2years); - if training is beyond the scope of project then they are not allowed..",4,"Jun 23, 2021"
Data Resources Peers Opportunities Solid processes for shaping your career. *separator* Poor work life balance sometimes.,5,"Jun 2, 2021"
learn a lot and having the autonomous to try new things. *separator* need to acuqire the skill to deal with ambiguity.,5,"May 31, 2021"
"Great benefits, really interesting projects, really great and smart team mates, big impact, etc.. *separator* Really long and brutal hours, unreasonable work-life balance expectations (5AM - 8PM meetings are the norm for my role), difficult colleagues in other teams that demand your time and energy, etc..",3,"Jun 12, 2021"
Ton of good teams doing amazing Machine Learning work. *separator* A lot of the work can slowly get operational in nature.,4,"Jun 12, 2021"
"Not bad people, decent pay. *separator* Work life balance is bad.",3,"May 28, 2021"
"Flexible work hours, open to learning new skills.. *separator* Not very structured organizations, siloed/tribal knowledge.",4,"May 18, 2021"
"You learn a lot of state-of-the-art methods, and can grow in the company.. *separator* Base salary is somewhat low compared to other companies, and I feel that there is a high variance in data scientists' science knowledge. Some are great, some are so-so..",4,"May 16, 2021"
You will get high bonuses. *separator* You have to work hard.,5,"May 1, 2021"
"food, benefits, insurance, life, fun. *separator* management, workers, lifestyle, entertainment, fun.",5,"Apr 16, 2021"
Good opportunities to lead large scale ML projects. Good opportunities to grow career. *separator* Stressful for people with family (children).,4,"Apr 27, 2021"
High concentration of smart people. *separator* the pace is fast and some people might find it stressful.,5,"Apr 10, 2021"
It was a good environment. *separator* It had a bad work life balance.,5,"Apr 1, 2021"
"great culture, customer obsessed, competitive. *separator* work life balance might be difficult to achieve.",5,"Mar 30, 2021"
Good career path in the organization. *separator* Lot of work and tough to switch departments.,5,"Mar 24, 2021"
"Career development, Mentorship and Reputation. *separator* Work lift balance, all work no life.",3,"Mar 28, 2021"
"great manager, superb pay, awesome projects. *separator* work-life balance can become tricky.",4,"Mar 26, 2021"
Salary Move very fast Exciting tech and smart people. *separator* Disjointed goals across teams Can be hard to contribute consistently with changing priorities.,3,"Mar 24, 2021"
I had really good experience working at this company.. *separator* Organizational efficiency could be worked upon..,4,"Mar 21, 2021"
"big name as a working experience. *separator* poor company culture, not treating employees well.",3,"Mar 20, 2021"
"Great best place to work in company, good salaries and opportunities to grow. *separator* None it couldn't find any.",5,"Mar 4, 2021"
"One of interesting job for me was that.. *separator* Time management, bundles of task performing as well.",5,"Feb 28, 2021"
Opportunities for growth and freedom to explore. *separator* Can be bureaucratic and weigh on you.,5,"Feb 26, 2021"
"projects, leadership principles, salary, leardership. *separator* work life balance not so great.",4,"Mar 1, 2021"
a lot of learning resources and internal tools talented teammates. *separator* quite busy life focus a lot on business value so sometimes it bias your work motivation.,4,"Feb 25, 2021"
"the money and perks, i guess. *separator* kill or be killed atmosphere.",1,"Mar 18, 2021"
Challenging problems all the time. *separator* Not much of the growth potencial.,3,"Feb 22, 2021"
"good salary, work-life balance, good colleagues. *separator* high entry requirement, office politics.",5,"Feb 5, 2021"
Can learn a lot from other amazing scientist. *separator* less holidays compared to other big companies.,4,"Feb 18, 2021"
"good team, manager and coworkers. *separator* do have some pressure. But can handle.",4,"Feb 16, 2021"
"Good feel, reputable and good company policies. *separator* No scope for creativity, too many people so hard to get recognized.",5,"Feb 1, 2021"
"Great experience, really smart coworkers, cutting edge work. *separator* Really long hours, high stress.",5,"Jan 27, 2021"
"Freedom, Innovative, Cutting Edge, Great management. *separator* Long work hours and not for the timid.",5,"Jan 25, 2021"
great company to work with.. *separator* can not think of any.,5,"Jan 21, 2021"
work with talented people and interesting project. *separator* Intense work pace etc etc etc.,4,"Feb 4, 2021"
"Good pay, good bonuses, good stock options. *separator* Lack of gender diversity within office.",5,"Jan 9, 2021"
"Industry leader in both e-commerce and cloud services. *separator* High turnover rate, fast-moving culture, not enough time to dive deep, little benefits as a tier-1/tier-2 company.",3,"Jan 11, 2021"
Stock price is steadily growing. Lots of opportunity to grow a career in. *separator* work life balance can be hard depending on the team.,4,"Dec 28, 2020"
"1) Autonomy to select your own projects 2) Constantly evolving and growing business 3) Collaborative environment with great co-workers 4) Work life balance is great. *separator* 1) While health care and retirement benefits are great, there are no gyms, free food, etc. 2) Outside of technical fields, limited self development options.",5,"Dec 10, 2020"
Nice team and working life balance.. *separator* Expensive housing in LA. High rents and tax..,5,"Dec 10, 2020"
Great place to work in the bay area. *separator* No cons to be honest.,5,"Dec 9, 2020"
Learning from experienced and smart people. *separator* Bureaucratic and subjective promotion process.,3,"Nov 28, 2020"
Constantly learning new things about ML in the Cloud.. *separator* complicated HR and administrative structure.,4,"Nov 20, 2020"
The compensation package is very generous.. *separator* My manager was had unrealistic expectations and was mentally abusive..,1,"Dec 10, 2020"
"Good for learning and first job. Great career growth and decent pay. *separator* Lack of benefits, and management is not always great..",4,"Oct 23, 2020"
"There are a lot of brilliant scientists to reach out to for review. You get a good community and smart people to work with. All you need is the drive and motivation, otherwise this is not the place for you.. *separator* The culture is aggressive, not appreciative. This is not a Con if you are willing to work for your satisfaction rather than expecting to be appreciated to keep you driven..",4,"Oct 19, 2020"
- Dealing with challenging problems - Having access to massive data. *separator* - Terrible work/life balance - Lack of respect for employees - Too much politics for promotions.,2,"Oct 19, 2020"
good pay and interesting problems. *separator* pay can be unstable and work life balance can be rough in some teams.,4,"Oct 11, 2020"
"Good Opportunities, Can Colaborate with Other Customers. *separator* There is no work life balance in Amazon.",5,"Sep 14, 2020"
"Interesting problems to work on, great support career wise.. *separator* Can be political at time, high turnover with reorg happening frequently and therefore difficult to find stability..",4,"Sep 13, 2020"
Super duper wow nice amazing. *separator* Wow wow wow wow woow.,5,"Aug 31, 2020"
stock price is growing rapidly. *separator* workload is a lot a lot.,3,"Sep 11, 2020"
a place you can learn a lot and develop. *separator* you need to work towards leadership principals and learn to survive.,4,"Aug 28, 2020"
"Great culture at AWS, lots to learn. *separator* Nothing so far; all good.",5,"Jun 25, 2020"
"Opportunities to learn new things Access to cutting edge technology. *separator* It's a grind, expect to need to push back on work/life balance.",3,"Jun 15, 2020"
"lots of opportunities to learn new things.. *separator* bad work life balance, and hard to seek professional growth.",3,"May 24, 2020"
"I worked for AWS Professional Services, the consulting arm of Amazon Web Services. * AWS invests a LOT in your education. 6 weeks of just onboarding, including AWS paying for certification training classes and certification exames * Access to internal AWS accounts makes it easy to experiment and learn * My coworkers were brilliant, and I learned a lot from them * Access to unique customer challenges and datasets * Pay was great, 30% higher than what I was making in my previous job * For a while, some of the travel is great. I got to visit a few cities around the U.S. and even travel internationally * Work-life balanced is manageable. Could be a lot better if there weren't so many time-sucking unnecessary internal processes, but it's not nearly as bad as Amazon's reputation if you google ""Amazon work-life balance"". *separator* * Amazon is enormous, and as bureaucratic as you'd guess based on that size. I probably bookmarked 200 well-meaning internal sites / tools my first week. * Gender diversity was awful on my team. I think it was something like 80 employees, 3 women. * Travel in AWS Professional Services is a lot more manageable than at management consultancies, but it can still wear you down. I'd say on average I got about 10 days notice before traveling * Internal communication tools are awful. You have to use Amazon-created, kind-of-ok alternatives to the stack you'd use at a modern company. e.g. Amazon Chime instead of Slack, Microsoft Outlook instead of Google Calendar, etc..",4,"Apr 20, 2020"
Leadership Principles really drive Amazon. Managers are very accommodating and willing to let you work in the way you work best. *separator* Not a place for people who don't want to take ownership. Or struggle with bias for action. Can be tough to learn because of the work going on..,5,"Apr 17, 2020"
Team Diversity. Open dialogues. Everyone has a voice. Flat hierarchy. Company Culture is deeply rooted. People care about each other's career development and happiness. They want everyone to fulfill their personal goals.. *separator* Both internal and external tools have sub-optimal UI / UX. The internal IM tool chime cannot compare with Slack..,5,"Feb 17, 2020"
Great opportunities for growth at the HQ!. *separator* Lack of benefits at the HQ.,4,"Feb 18, 2020"
"* They take time to get you up to speed with AWS to help serve customers. Very impressed with the onboarding experience. * Plenty of opportunities for you to learn new skills that will help you professionally. * You are in a team that is essentially on cutting edge technology. * You get to make a very really impact on real customers.. *separator* * A lot of travel, however, this depends on the project you are handed. Typically a project lasts 4 months, so time varies. * Resource management is pretty poor sometimes. Meaning they have a difficult time matching people with the right skills to the right projects. Getting a ""good"" project which you can make an impact on is sometimes luck. * In professional services your team is typically scattered across the country. Hence, you do feel isolated at times. * Some projects lack proper project management. E.g. A project manger can only spend 4 hours a week on your project. This mean you have to pick up 80% of overhead tasks even though you are a technical lead consultant..",4,"Feb 11, 2020"
Many Opportunities for development. *separator* Hierarchical structure on management level.,4,"Oct 10, 2019"
nice tech company and young culture. *separator* work life balance and high pressure work.,5,"Sep 3, 2019"
Good company High growth potential Multitude of opportunities Smart and Intelligent individuals. *separator* Nothing None Nothing to say Nothing to mention Not Applicable.,5,"Jul 28, 2019"
"I hear this is certainly not true for every team, but I think my team is great and I’m very happy at Amazon. - My work life balance is great. I hardly ever have to work more than 40 hours/week. The few times that I do, I don’t particularly mind since I rarely have to. - My team and manager are really chill. Nobody cares when I get to the office, when I leave, or exactly how many hours I was there. I’m certainly expected to get my work done, but I feel like I have a lot of freedom to work on my projects however I’d like. I also work from home about once a week. - This is especially true for Amazon Web Services (where I work) but I feel fortunate that I can learn how to use all the services on AWS for free. My field uses AWS pretty extensively, but it’s normally pretty expensive if you want to use it a lot. We get it all for free and we use it a lot in our everyday work, so I feel pretty lucky to be able to learn it.. *separator* - Compared to other tech companies Amazon is undoubtedly very cheap. We have to pay for all of our own food, the food is expensive, and it’s also mediocre. Parking isn’t even free. Our benefits are okay but not as good as other tech companies. Our office space looks fine but pretty minimalist. I find this to be minor in the grand scheme of things but it’s definitely noticeable. - I dislike being on-call. I’m on call for a week at a time about once every two months. During that time you’re handed a pager and you have to be available 24/7 for issues. This could potentially be on a random weekend afternoon, 8 am in the morning, or worst of all, the dreaded 3 am pager ringing. Fortunately I’m not on-call all that often so I just suck it up and deal with it whenever it rolls around..",5,"Jun 6, 2019"
work has high impact and high visibility. *separator* Benefits/Time-offs is worse compared to other giant tech companies such as Google or FB.,4,"Jun 10, 2019"
End to end Ownership of project Challenging problems Smart collegues to learn from Compensation. *separator* Getting used to culture may be challenging initally.,5,"May 2, 2019"
"-strong leadership and organizational alignment around goals -empowerment with a lot of responsibility and autonomy in defining work/improving the product/improving the organization -supportive management -highly passionate and intelligent co-workers -great pay and stock options -cool workspaces in Seattle -fancy tech (nice laptop/mouse/keyboards/monitors/etc.) -free snacks (team dependent) -great place to learn -can work whenever (as long as you're pulling your weight). *separator* -not as many perks as other tech companies (but aside from free food, I wonder how many you'd actually use) -""move fast"" approach, which means things can sometimes be done hastily in the interest of delivering results quickly -nobody expects you to work past 9AM-5PM, but you might need to do that to get your work done depending on how fast you work.",5,"Apr 2, 2019"
"high pay, growth, free stuff from the website. *separator* kept in basement until finished coding, lashings.",5,"Mar 22, 2019"
lots of interesting groups with interesting problems. *separator* some groups are very heavy on operations.,3,"Apr 7, 2019"
"Smart knowledgeabke colleagues, interesting projects, compensation. *separator* 40-80 hours per week.",5,"Oct 22, 2018"
"Amazon wants their employees to work on projects where they can use their best strengths. Because Amazon has so many teams working on so many different products, you can find a great fit for your combination of strengths. Most people who work here are bright, hardworking and of good character.. *separator* Most people who work here have high standards, especially of themselves, so people feel a lot of pressure from within. This can lead to people being a bit negative. In a large organization and at the huge scale of Amazon, it is difficult to take a big idea from conception to deployment. It is hard to know who owns what, how to navigate the organization and inject a new idea into an existing budgeted and approved roadmap..",5,"Sep 10, 2018"
"Super smart people that raise my standards in many areas. Great investment in big ideas and the freedom to propose big ideas. If you have a role that isn't great, you can always transfer and go to other teams- chances are there's a team here that is aligned with your career passions.. *separator* The pace and amount of work can get the best of you if you don't keep good control of it. You can control it, but that means saying no and learning what is/is not important. Time management skills are essential here..",5,"Jun 1, 2018"
Flexibility to do work anytime and all resources are available.. *separator* Firm deadlines and push to finish early..,5,"Oct 21, 2022"
A lot of resources to collect and analyze. *separator* You need to conserve your time for priorities.,5,"Oct 11, 2022"
"Good salary, working for 3 days per week, paid 40$/1h, .... *separator* Good salary, 40$/1h, 3 days a week,.",5,"Oct 5, 2022"
growing company with a super technology. *separator* good place to work to devlop the techanology.,5,"Sep 27, 2022"
"The scale of Amazon allows to have a big in impact in terms of customers and sales. The structure and face paced environment make you learn fast. It is relatively easy to change team, department and city within Amazon. *separator* A lot of work is required and no extra hours are counted.",5,"Sep 23, 2022"
Had the pleasure to work with the DS team for my 6-month internship. I learned so much during this time and would recommend this to anyone.. *separator* Pressure to deliver and learn topics quickly.,4,"Oct 1, 2022"
good conditions for a company. *separator* overworking hours in some situations.,5,"Sep 2, 2022"
Make people understand how life works. *separator* Give people chance to explain them selves.,4,"Jul 24, 2022"
"good pay and benefit, a lot of challenge and interesting problem. *separator* have stress. career goal is not clear.",4,"Jul 16, 2022"
"Flexible hours, great offices, great team, great pay and benefits. *separator* Bureaucracy might be hard to navigate sometimes, troubles that come with any company of this size and scale.",4,"Jul 3, 2022"
"good problem statements, good compensation, work life balance. *separator* bureaucratic culture, slow, less opportunity for end-to-end ownership.",3,"Jun 11, 2022"
"Amazon is the best working place! I love the working environment, talent people in the company, great resources and flexible working arrangements!. *separator* haven't found so far, if meal could be provided now and then, it will be even better!.",5,"May 24, 2022"
"good company,Great to start,good salary. *separator* needs standard qualifications for higher posts.",5,"May 21, 2022"
Handsome pay and too much challenging. *separator* poor work life balance and no holidays on max weekends..,4,"May 24, 2022"
good env for beginners and pros. *separator* not cons at the moment.,5,"Apr 25, 2022"
"Good salary, Good co workers. *separator* Not so good work environment.",5,"Apr 21, 2022"
"vast opportunities to learn, smart people. *separator* There is some misalignment between your role and responsibilities and expectation for growth.",4,"May 3, 2022"
The management is very humanized. *separator* Sometimes work pressure is too high.,3,"Apr 28, 2022"
good work ethics and good working conditions. *separator* less package and that can be a downside.,4,"Apr 20, 2022"
"Nice wage and people working there. *separator* Not really any, everything was ok.",5,"Apr 5, 2022"
