# ----------------------------------------------------------------------------------------------------------------------------------------------
# Question 1
# For every year after 1995 print the difference between the money spent to create the movie and the revenue of the movie.
# ----------------------------------------------------------------------------------------------------------------------------------------------

+------+-----------------------------------------------------------------------------------+----------+
|Id    |Movie                                                                              |Return    |
|21612 |The Funeral                                                                        |-11272676 |
|1630  |The People vs. Larry Flynt                                                         |-15699615 |
|49763 |Bad Moon                                                                           |-5900000  |
|409   |The English Patient                                                                |204976425 |
|199   |Star Trek: First Contact                                                           |104000000 |
|12498 |Sling Blade                                                                        |23444121  |
|9279  |Jingle All the Way                                                                 |69832389  |
|21539 |The Preacher's Wife                                                                |8093211   |
|12709 |Ridicule                                                                           |-496171   |
|11674 |101 Dalmatians                                                                     |266689294 |
|75    |Mars Attacks!                                                                      |31371017  |
|13891 |Citizen Ruth                                                                       |-2846845  |
|9390  |Jerry Maguire                                                                      |223552592 |
|9819  |Marvin's Room                                                                      |-10196695 |
|4232  |Scream                                                                             |159046663 |
|8818  |Evita                                                                              |86047179  |
|34314 |Turbulence                                                                         |-43533912 |
|8860  |Metro                                                                              |-23012437 |
|9619  |Dante's Peak                                                                       |62127760  |
|26306 |Prefontaine                                                                        |-7410696  |
|66    |Absolute Power                                                                     |68310     |
|11419 |Vegas Vacation                                                                     |11400360  |
|638   |Lost Highway                                                                       |-11324799 |
|25624 |Rosewood                                                                           |-16869651 |
|9366  |Donnie Brasco                                                                      |6954997   |
|28005 |Kama Sutra - A Tale of Love                                                        |1109095   |
|9403  |Private Parts                                                                      |13230799  |
|10003 |The Saint                                                                          |50063304  |
|1624  |Liar Liar                                                                          |257710615 |
|16052 |Selena                                                                             |40000000  |
|4477  |The Devil's Own                                                                    |50807547  |
|24662 |Cats Don't Dance                                                                   |-28433363 |
|6499  |Turbo: A Power Rangers Movie                                                       |7979739   |
|50512 |Anna Karenina                                                                      |-34208170 |
|9360  |Anaconda                                                                           |91885767  |
|816   |Austin Powers: International Man of Mystery                                        |51183989  |
|2163  |Breakdown                                                                          |14159144  |
|18    |The Fifth Element                                                                  |173920180 |
|64802 |Love! Valour! Compassion!                                                          |900000    |
|330   |The Lost World: Jurassic Park                                                      |156074524 |
|1701  |Con Air                                                                            |149012234 |
|1639  |Speed 2: Cruise Control                                                            |4508066   |
|49235 |Squeeze                                                                            |-489700   |
|415   |Batman & Robin                                                                     |113207122 |
|11970 |Hercules                                                                           |167712101 |
|8874  |My Best Friend's Wedding                                                           |261288605 |
|754   |Face/Off                                                                           |165676146 |
|607   |Men in Black                                                                       |499390539 |
|17834 |A Simple Wish                                                                      |-19654944 |
|686   |Contact                                                                            |81120329  |
|4421  |G.I. Jane                                                                          |-1830844  |
|2142  |Cop Land                                                                           |29862187  |
|8413  |Event Horizon                                                                      |-33326758 |
|10336 |Spawn                                                                              |47840042  |
|20737 |Air Bud                                                                            |20144499  |
|9413  |Picture Perfect                                                                    |25332015  |
|8834  |Conspiracy Theory                                                                  |61982834  |
|8854  |Steel                                                                              |-14313571 |
|4961  |Mimic                                                                              |-4519510  |
|9772  |Air Force One                                                                      |230156409 |
|6072  |One Eight Seven                                                                    |-14283920 |
|2118  |L.A. Confidential                                                                  |91216940  |
|978   |Seven Years in Tibet                                                               |61457682  |
|9437  |Kiss the Girls                                                                     |33527873  |
|10351 |Wishmaster                                                                         |10719109  |
|2649  |The Game                                                                           |59423648  |
|14289 |Fire Down Below                                                                    |-44000000 |
|10155 |U Turn                                                                             |-12317902 |
|68924 |The Ice Storm                                                                      |-9961939  |
|2255  |Chasing Amy                                                                        |11771272  |
|9427  |The Full Monty                                                                     |254350122 |
|3597  |I Know What You Did Last Summer                                                    |108586134 |
|1813  |The Devil's Advocate                                                               |95944660  |
|12628 |Playing God                                                                        |-8000000  |
|33344 |The House of Yes                                                                   |-873943   |
|782   |Gattaca                                                                            |-23467223 |
|10871 |Switchback                                                                         |-30517805 |
|1281  |Bean                                                                               |233212670 |
|9770  |Mad City                                                                           |-39458477 |
|12616 |One Night Stand                                                                    |-21357017 |
|11975 |The Rainmaker                                                                      |5916769   |
|4995  |Boogie Nights                                                                      |28101594  |
|563   |Starship Troopers                                                                  |16214377  |
|10215 |Sliding Doors                                                                      |52000000  |
|9823  |Mortal Kombat: Annihilation                                                        |21376861  |
|37165 |The Truman Show                                                                    |204118201 |
|4824  |The Jackal                                                                         |99330280  |
|9444  |Anastasia                                                                          |86804348  |
|9414  |The Man Who Knew Too Little                                                        |-6198245  |
|8078  |Alien: Resurrection                                                                |92000000  |
|11831 |Amistad                                                                            |38000000  |
|2639  |Deconstructing Harry                                                               |-9313159  |
|9574  |Flubber                                                                            |97977226  |
|10371 |For Richer or Poorer                                                               |-3388775  |
|489   |Good Will Hunting                                                                  |215933435 |
|9714  |Home Alone 3                                                                       |47082515  |
|8197  |Midnight in the Garden of Good and Evil                                            |-9894745  |
|6283  |MouseHunt                                                                          |84417389  |
|4233  |Scream 2                                                                           |148363301 |
|10217 |The Sweet Hereafter                                                                |-1736415  |
|597   |Titanic                                                                            |1645034188|
|714   |Tomorrow Never Dies                                                                |223011068 |
|9922  |The Postman                                                                        |-62373766 |
|547   |The Horse Whisperer                                                                |126883563 |
|184   |Jackie Brown                                                                       |27673162  |
|9746  |Kundun                                                                             |-22315211 |
|115   |The Big Lebowski                                                                   |31189568  |
|9410  |Great Expectations                                                                 |30494066  |
|586   |Wag the Dog                                                                        |49256513  |
|2666  |Dark City                                                                          |200316    |
|11258 |Hard Rain                                                                          |-50129433 |
|9490  |Half Baked                                                                         |9460020   |
|25719 |Shooting Fish                                                                      |-2697796  |
|6116  |Spice World                                                                        |75000000  |
|9457  |Deep Rising                                                                        |-33796974 |
|11702 |The Replacement Killers                                                            |-10795071 |
|12238 |The Night Flier                                                                    |-908451   |
|11568 |Blues Brothers 2000                                                                |-13948616 |
|11003 |The Wedding Singer                                                                 |105306987 |
|10153 |Sphere                                                                             |-61900000 |
|2898  |As Good as It Gets                                                                 |264178011 |
|11808 |U.S. Marshals                                                                      |42367405  |
|42807 |The Newton Boys                                                                    |49000000  |
|617   |Wild Things                                                                        |47200000  |
|32456 |Two Girls and a Guy                                                                |1057193   |
|17127 |The Object of My Affection                                                         |31905889  |
|40688 |Meet the Deedles                                                                   |-19437854 |
|2157  |Lost in Space                                                                      |56159423  |
|29193 |The Spanish Prisoner                                                               |3835130   |
|795   |City of Angels                                                                     |143685114 |
|9469  |He Got Game                                                                        |-3432147  |
|16148 |Zero Effect                                                                        |-3019662  |
|78149 |An Alan Smithee Film: Burn Hollywood Burn                                          |-9954221  |
|10622 |一個好人                                                                           |6097767   |
|10216 |Species II                                                                         |-15834440 |
|9448  |The Big Hit                                                                        |14007143  |
|8656  |Deep Impact                                                                        |65464664  |
|58680 |Woo                                                                                |-4973029  |
|18937 |Quest for Camelot                                                                  |-1827500  |
|929   |Godzilla                                                                           |249014294 |
|9452  |Bulworth                                                                           |-797116   |
|1878  |Fear and Loathing in Las Vegas                                                     |-7819725  |
|9844  |The Opposite of Sex                                                                |879254    |
|1965  |A Perfect Murder                                                                   |68038368  |
|6068  |Six Days Seven Nights                                                              |94000000  |
|15037 |Can't Hardly Wait                                                                  |15605015  |
|21334 |بچه‌های آسمان                                                                      |720000    |
|10674 |Mulan                                                                              |214320254 |
|846   |The X Files                                                                        |123198313 |
|3050  |Doctor Dolittle                                                                    |223456605 |
|1389  |Out of Sight                                                                       |29745568  |
|9464  |Buffalo '66                                                                        |875097    |
|95    |Armageddon                                                                         |413799566 |
|944   |Lethal Weapon 4                                                                    |145444603 |
|11551 |Small Soldiers                                                                     |14682547  |
|473   |Pi                                                                                 |3161152   |
|544   |There's Something About Mary                                                       |346884651 |
|9342  |The Mask of Zorro                                                                  |155288523 |
|9769  |Lolita                                                                             |-60939944 |
|9424  |Disturbing Behavior                                                                |2507368   |
|9835  |Jane Austen's Mafia!                                                               |9000000   |
|857   |Saving Private Ryan                                                                |411840909 |
|9631  |The Negotiator                                                                     |-5452319  |
|11675 |Halloween: H20                                                                     |38041738  |
|9454  |EverAfter                                                                          |39705772  |
|8688  |Snake Eyes                                                                         |30891409  |
|118452|First Love Last Rites                                                              |-259458   |
|9320  |The Avengers                                                                       |-11414584 |
|33644 |How Stella Got Her Groove Back                                                     |17672350  |
|77469 |Your Friends & Neighbors                                                           |-289251   |
|36647 |Blade                                                                              |86183530  |
|3682  |54                                                                                 |3757163   |
|51942 |I Married a Strange Person!                                                        |-47       |
|10220 |Rounders                                                                           |10921898  |
|431   |Cube                                                                               |251818    |
|22796 |Simon Birch                                                                        |-1746585  |
|22256 |Without Limits                                                                     |-24222577 |
|2109  |Rush Hour                                                                          |211386864 |
|24746 |Six-String Samurai                                                                 |-1875506  |
|8195  |Ronin                                                                              |-13389116 |
|9877  |Urban Legend                                                                       |58527595  |
|8916  |Antz                                                                               |111757863 |
|9429  |A Night at the Roxbury                                                             |13331165  |
|12159 |What Dreams May Come                                                               |-13514957 |
|27791 |Strangeland                                                                        |-468779   |
|11932 |Bride of Chucky                                                                    |25671850  |
|6435  |Practical Magic                                                                    |-28316623 |
|10683 |Happiness                                                                          |-192610   |
|9425  |Soldier                                                                            |-60432117 |
|637   |La vita è bella                                                                    |209400000 |
|73    |American History X                                                                 |3875127   |
|46889 |Living Out Loud                                                                    |902790    |
|3033  |Gods and Monsters                                                                  |-3548372  |
|9882  |The Siege                                                                          |46672912  |
|10663 |The Waterboy                                                                       |162991646 |
|4518  |Elizabeth                                                                          |52150642  |
|3600  |I Still Know What You Did Last Summer                                              |-24997888 |
|297   |Meet Joe Black                                                                     |52940100  |
|9798  |Enemy of the State                                                                 |160649836 |
|14444 |The Rugrats Movie                                                                  |70491683  |
|9487  |A Bug's Life                                                                       |243258859 |
|666   |Central do Brasil                                                                  |2696708   |
|9447  |Babe: Pig in the City                                                              |-20868140 |
|12257 |Home Fries                                                                         |-4556684  |
|37536 |Ringmaster                                                                         |5747881   |
|10029 |Very Bad Things                                                                    |-20101588 |
|11252 |Psycho                                                                             |-22858870 |
|200   |Star Trek: Insurrection                                                            |48000000  |
|9837  |The Prince of Egypt                                                                |148613188 |
|11545 |Rushmore                                                                           |8096053   |
|1934  |Shakespeare in Love                                                                |264317794 |
|9489  |You've Got Mail                                                                    |185821495 |
|8741  |The Thin Red Line                                                                  |46126565  |
|9276  |The Faculty                                                                        |25283321  |
|10312 |Patch Adams                                                                        |152292902 |
|9422  |A Civil Action                                                                     |-13297099 |
|10368 |Tea with Mussolini                                                                 |9001563   |
|31662 |Affliction                                                                         |330054    |
|825   |Playing by Heart                                                                   |-16029922 |
|9423  |Virus                                                                              |-60989310 |
|10314 |She's All That                                                                     |93166989  |
|47139 |Blood Guts Bullets and Octane                                                      |6374      |
|2112  |Payback                                                                            |71626121  |
|16172 |Simply Irresistible                                                                |-1601011  |
|11622 |Blast from the Past                                                                |5263020   |
|10207 |Message in a Bottle                                                                |38880016  |
|9849  |My Favorite Martian                                                                |-28149899 |
|18892 |Jawbreaker                                                                         |76820     |
|1542  |Office Space                                                                       |2827813   |
|15256 |200 Cigarettes                                                                     |852450    |
|8224  |8MM                                                                                |56618699  |
|9535  |Analyze This                                                                       |96885658  |
|9455  |The Corruptor                                                                      |-9843800  |
|796   |Cruel Intentions                                                                   |65402208  |
|100   |Lock Stock and Two Smoking Barrels                                                 |2547569   |
|30943 |The Deep End of the Ocean                                                          |-9878900  |
|7341  |The Rage: Carrie 2                                                                 |-3237295  |
|22345 |Baby Geniuses                                                                      |24450736  |
|1641  |Forces of Nature                                                                   |18888180  |
|47288 |The King and I                                                                     |-13000000 |
|16379 |The Mod Squad                                                                      |-36739950 |
|603   |The Matrix                                                                         |400517383 |
|4951  |10 Things I Hate About You                                                         |37478166  |
|8970  |The Out-of-Towners                                                                 |-46000000 |
|11660 |Following                                                                          |42482     |
|9430  |Go                                                                                 |21951622  |
|11355 |Never Been Kissed                                                                  |59565230  |
|9465  |Cookie's Fortune                                                                   |920544    |
|6522  |Life                                                                               |-6654971  |
|1902  |Abre los ojos                                                                      |-2531766  |
|39964 |Lost & Found                                                                       |99        |
|1946  |eXistenZ                                                                           |-12143288 |
|1844  |Entrapment                                                                         |146404396 |
|6552  |Idle Hands                                                                         |-20847770 |
|564   |The Mummy                                                                          |335885488 |
|13852 |The Castle                                                                         |75114     |
|4927  |Edge of Seventeen                                                                  |-629249   |
|1893  |Star Wars: Episode I - The Phantom Menace                                          |809317558 |
|509   |Notting Hill                                                                       |321889678 |
|1090  |The Thirteenth Floor                                                               |2564088   |
|62676 |Limbo                                                                              |-6002193  |
|817   |Austin Powers: The Spy Who Shagged Me                                              |277940086 |
|14283 |The Red Violin                                                                     |-8504592  |
|37135 |Tarzan                                                                             |298000000 |
|2275  |The General's Daughter                                                             |89705852  |
|24137 |An Ideal Husband                                                                   |4535191   |
|104   |Lola rennt                                                                         |5737585   |
|9032  |Big Daddy                                                                          |200601895 |
|9421  |Le Dîner de cons                                                                   |66099508  |
|8487  |Wild Wild West                                                                     |52104681  |
|2105  |American Pie                                                                       |224483004 |
|10208 |Muppets from Space                                                                 |-7709024  |
|2667  |The Blair Witch Project                                                            |247940000 |
|345   |Eyes Wide Shut                                                                     |97091208  |
|9825  |Lake Placid                                                                        |29870414  |
|16158 |The Wood                                                                           |19059640  |
|10490 |Drop Dead Gorgeous                                                                 |571408    |
|11618 |The Haunting                                                                       |11188905  |
|1812  |Trick                                                                              |1599595   |
|8914  |Deep Blue Sea                                                                      |13648228  |
|9824  |Mystery Men                                                                        |-38237989 |
|4806  |Runaway Bride                                                                      |239457509 |
|16406 |Dick                                                                               |14500000  |
|10386 |The Iron Giant                                                                     |-46840695 |
|745   |The Sixth Sense                                                                    |632806292 |
|913   |The Thomas Crown Affair                                                            |76305181  |
|17707 |Brokedown Palace                                                                   |-12000000 |
|9781  |Detroit Rock City                                                                  |-2282885  |
|9406  |An American Werewolf in Paris                                                      |4570463   |
|10342 |Teaching Mrs. Tingle                                                               |-4053763  |
|10366 |Universal Soldier: The Return                                                      |-34332107 |
|22314 |In Too Deep                                                                        |7011454   |
|1911  |The 13th Warrior                                                                   |-98301101 |
|2900  |The Astronaut's Wife                                                               |-55401412 |
|2162  |Chill Factor                                                                       |-58736034 |
|14578 |Outside Providence                                                                 |292175    |
|10307 |Stigmata                                                                           |21041732  |
|11601 |Stir of Echoes                                                                     |9133087   |
|14    |American Beauty                                                                    |341296601 |
|11001 |Blue Streak                                                                        |52758500  |
|10398 |Double Jeopardy                                                                    |107841558 |
|60994 |Guinevere                                                                          |-1985798  |
|14429 |Drive Me Crazy                                                                     |14593409  |
|15198 |Mystery Alaska                                                                     |-19111857 |
|6415  |Three Kings                                                                        |33000000  |
|24066 |Happy Texas                                                                        |243649    |
|12618 |Random Hearts                                                                      |10608570  |
|226   |Boys Don't Cry                                                                     |9540607   |
|10388 |The Limey                                                                          |-6806898  |
|8052  |Hard Eight                                                                         |-2777441  |
|302579|Naturally Native                                                                   |-689492   |
|550   |Fight Club                                                                         |37853753  |
|12220 |The Story of Us                                                                    |8900031   |
|16162 |The Best Man                                                                       |25573780  |
|11377 |House on Haunted Hill                                                              |21846082  |
|26149 |Music of the Heart                                                                 |-12140606 |
|492   |Being John Malkovich                                                               |9863596   |
|108346|Dreaming of Joseph Lees                                                            |-1999993  |
|128   |もののけ姫                                                                         |132875308 |
|2020  |The Bachelor                                                                       |-14088383 |
|9481  |The Bone Collector                                                                 |78493655  |
|9008  |The Insider                                                                        |-29710088 |
|21349 |Anywhere But Here                                                                  |-4346385  |
|1832  |Dogma                                                                              |20652890  |
|10047 |Joan of Arc                                                                        |6976317   |
|10228 |劇場版ポケットモンスター ミュウツーの逆襲                                          |133644662 |
|2668  |Sleepy Hollow                                                                      |106071502 |
|36643 |The World Is Not Enough                                                            |226832400 |
|99    |Todo sobre mi madre                                                                |59600000  |
|9946  |End of Days                                                                        |111989043 |
|863   |Toy Story 2                                                                        |407366869 |
|22267 |Ride with the Devil                                                                |-37364904 |
|55123 |Tumbleweeds                                                                        |969176    |
|20024 |The End of the Affair                                                              |-12172184 |
|10402 |Deuce Bigalow: Male Gigolo                                                         |48535067  |
|497   |The Green Mile                                                                     |224600000 |
|1715  |The Cider House Rules                                                              |64545092  |
|2277  |Bicentennial Man                                                                   |-6300000  |
|10137 |Stuart Little                                                                      |167135367 |
|49948 |Fantasia 2000                                                                      |10874570  |
|334   |Magnolia                                                                           |11451803  |
|30237 |Onegin                                                                             |-13793872 |
|50116 |Simpatico                                                                          |-9070394  |
|9563  |Any Given Sunday                                                                   |45230832  |
|1850  |Man on the Moon                                                                    |-34565570 |
|926   |Galaxy Quest                                                                       |45683916  |
|1213  |The Talented Mr. Ripley                                                            |88798265  |
|10471 |Next Friday                                                                        |48827328  |
|10400 |The Hurricane                                                                      |23956241  |
|10397 |Angela's Ashes                                                                     |-12       |
|20761 |Play It to the Bone                                                                |-15565854 |
